eur_name,c_ori_name,c_eng_name,v_unit,u_id,u_descripcion,u_description,mu_id,mu_descripcion,mu_description
ALC,alcohol (etanol),alcohol (ethanol),g,g,gramos,gram,W,por 100 g de porción comestible,per 100 g edible portion
ENERC,"energía, total","energy, total metabolisable calculated from energy-producing food components",kJ,kJ,kilojulios,kilojoule,W,por 100 g de porción comestible,per 100 g edible portion
FAT,"grasa, total (lipidos totales)","fat, total (total lipid)",g,g,gramos,gram,W,por 100 g de porción comestible,per 100 g edible portion
PROT,"proteina, total","protein, total",g,g,gramos,gram,W,por 100 g de porción comestible,per 100 g edible portion
WATER,agua (humedad),water (moisture),g,g,gramos,gram,W,por 100 g de porción comestible,per 100 g edible portion
CHO,carbohidratos,carbohydrate,g,g,gramos,gram,W,por 100 g de porción comestible,per 100 g edible portion
FIBT,"fibra, dietetica total","fibre, total dietary",g,g,gramos,gram,W,por 100 g de porción comestible,per 100 g edible portion
STARCH,"almidón, total","starch, total",g,g,gramos,gram,W,por 100 g de porción comestible,per 100 g edible portion
SUGAR,"azucares, totales","sugars, total",g,g,gramos,gram,W,por 100 g de porción comestible,per 100 g edible portion
FAMS,"ácidos grasos, monoinsaturados totales","fatty acids, total monounsaturated",g,g,gramos,gram,W,por 100 g de porción comestible,per 100 g edible portion
FAPU,"ácidos grasos, poliinsaturados totales","fatty acids, total polyunsaturated",g,g,gramos,gram,W,por 100 g de porción comestible,per 100 g edible portion
FASAT,ácidos grasos saturados totales,"fatty acids, total saturated",g,g,gramos,gram,W,por 100 g de porción comestible,per 100 g edible portion
CHORL,colesterol,cholesterol,mg,mg,miligramos,milligram,W,por 100 g de porción comestible,per 100 g edible portion
VITA,Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,vitamin A retinol equiv from retinol and carotenoid activities,ug,ug,microgramos,microgram,W,por 100 g de porción comestible,per 100 g edible portion
VITD,Vitamina D,vitamin D,ug,ug,microgramos,microgram,W,por 100 g de porción comestible,per 100 g edible portion
VITE,Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,vitamin E alpha-tocopherol equiv from E vitamer activities,mg,mg,miligramos,milligram,W,por 100 g de porción comestible,per 100 g edible portion
BIOT,biotina,biotin,ug,ug,microgramos,microgram,W,por 100 g de porción comestible,per 100 g edible portion
FOL,"folato, total","folate, total",ug,ug,microgramos,microgram,W,por 100 g de porción comestible,per 100 g edible portion
NIAEQ,"equivalentes de niacina, totales","niacin equivalents, total",mg,mg,miligramos,milligram,W,por 100 g de porción comestible,per 100 g edible portion
PANTAC,ácido pantoténico (vitamina B5),pantothenic acid (vitamin B5),mg,mg,miligramos,milligram,W,por 100 g de porción comestible,per 100 g edible portion
